country_code,country_name,sector_code,sector_name,year,ai_any_pct,ai_any_flag,ai_ge2_pct,ai_ge2_flag,ai_ge3_pct,ai_ge3_flag,ai_workflow_pct,ai_workflow_flag,ai_production_pct,ai_production_flag,ai_logistics_pct,ai_logistics_flag,ai_marketing_pct,ai_marketing_flag,ai_security_pct,ai_security_flag,value_added_meur_ge10,persons_employed_ge10,av_size_groups_available,emp_size_groups_available,labour_productivity_keur,missing_ai_measures,ai_any_break,core_complete,balanced_entity
DK,Denmark,C,Manufacturing,2023,14.8,,7.99,,3.38,,5.91,,4.85,,2.74,,2.42,,5.22,,46701.48,314445.0,4,4,148.52034537041453,0,No,Yes,Yes
DK,Denmark,C,Manufacturing,2024,21.75,,12.95,,6.22,,6.94,,4.71,,2.52,,4.9,,5.6,,57071.46000000001,321196.0,4,4,177.68421773621094,0,No,Yes,Yes
DK,Denmark,F,Construction,2021,8.87,,2.94,,0.67,,6.24,,0.42,,0.74,,0.85,,1.18,,,133136.0,2,4,,0,No,No,No
DK,Denmark,F,Construction,2023,3.23,,1.08,,0.27,,0.67,,0.27,,0.0,,0.14,,0.92,,11076.84,138878.0,4,4,79.75950114488975,0,No,Yes,No
DK,Denmark,F,Construction,2024,11.7,,6.61,,3.69,,3.78,,1.41,,0.73,,3.29,,1.82,,11466.89,140459.0,4,4,81.63869883738315,0,No,Yes,No
DK,Denmark,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2021,21.3,,9.48,,4.89,,15.61,,4.24,,5.97,,5.71,,5.79,,27778.73,391565.0,4,4,70.94283196914944,0,No,Yes,Yes
DK,Denmark,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2023,14.17,,7.66,,4.07,,7.44,,3.24,,3.79,,4.89,,5.57,,28310.59,409799.0,4,4,69.08408756487937,0,No,Yes,Yes
DK,Denmark,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2024,27.34,,18.02,,11.15,,11.69,,4.52,,3.68,,12.45,,5.31,,28082.850000000002,410854.0,4,4,68.35238308498884,0,No,Yes,Yes
DK,Denmark,H,Transportation and storage,2021,21.28,,10.26,,5.58,,15.61,,5.42,,8.99,,6.07,,7.92,,22891.82,122477.0,4,4,186.90709276027334,0,No,Yes,Yes
DK,Denmark,H,Transportation and storage,2023,15.16,,6.13,,1.66,,7.89,,1.84,,4.91,,1.8,,5.34,,18688.62,136399.0,4,4,137.01434761251915,0,No,Yes,Yes
DK,Denmark,H,Transportation and storage,2024,21.1,,15.83,,8.82,,11.47,,4.05,,3.96,,5.46,,5.35,,21475.31,136269.0,4,4,157.59497758110797,0,No,Yes,Yes
DK,Denmark,I,Accommodation and food service activities,2021,12.21,,3.4,,1.64,,6.29,,0.79,,0.41,,4.3,,5.39,,2078.52,93378.0,4,4,22.259204523549442,0,No,Yes,Yes
DK,Denmark,I,Accommodation and food service activities,2023,6.6,,1.68,,0.92,,3.98,,0.06,,0.0,,1.83,,1.14,,3534.98,123329.0,4,4,28.663007078627086,0,No,Yes,Yes
DK,Denmark,I,Accommodation and food service activities,2024,10.79,,4.76,,1.94,,2.11,,1.0,,0.17,,5.45,,0.32,,3792.5099999999998,125862.0,4,4,30.132287743719306,0,No,Yes,Yes
DK,Denmark,J,Information and communication,2021,54.75,,38.29,,25.16,,41.19,,12.79,,4.99,,21.29,,20.15,,10687.25,101630.0,4,4,105.15841779002263,0,No,Yes,Yes
