country_code,sector_code,year,gva_current_meur_na,gva_current_meur_na_status,gva_volume_2020_meur_na,gva_volume_2020_meur_na_status,na_deflator_cp_over_clv20,na_deflator_base,na_deflator_norm_2021
EL,G,2023,21785.5,p,17354.6,p,1.255315593560209,1.086708156358598,1.1551542943844186
EL,G,2024,22369.1,p,17597.3,p,1.2711665994215022,1.086708156358598,1.1697405526806735
EL,H,2021,9966.8,,10253.1,,0.9720767377671142,0.9720767377671142,1.0
EL,H,2023,13050.5,p,11075.1,p,1.1783640779767226,0.9720767377671142,1.2122130200167693
EL,H,2024,13106.1,p,11165.9,p,1.1737611836036506,0.9720767377671142,1.2074779058079415
EL,I,2021,8449.1,,8676.5,,0.9737912752838126,0.9737912752838126,1.0
EL,I,2023,13737.1,p,11727.7,p,1.1713379435012832,0.9737912752838126,1.2028634608169964
EL,I,2024,15068.2,p,11762.6,p,1.2810263037083638,0.9737912752838126,1.3155039855281176
EL,J,2021,6142.1,,6208.9,,0.9892412504630451,0.9892412504630451,1.0
EL,J,2023,6953.8,p,7284.2,p,0.9546415529502211,0.9892412504630451,0.9650240045119141
EL,J,2024,7507.8,p,7874.0,p,0.953492506985014,0.9892412504630451,0.9638624617995885
EL,L,2021,28546.0,,28535.7,,1.0003609513696878,1.0003609513696878,1.0
EL,L,2023,32241.4,p,30510.5,p,1.0567312892282985,1.0003609513696878,1.0563499982495606
EL,L,2024,32520.0,p,29263.2,p,1.111293365045518,1.0003609513696878,1.1108923869168845
EL,M,2021,6570.8,,6586.6,,0.9976011902954484,0.9976011902954484,1.0
EL,M,2023,8133.7,p,8007.1,p,1.0158109677661076,0.9976011902954484,1.0182535642978396
EL,M,2024,8774.7,p,7332.1,p,1.1967512718048037,0.9976011902954484,1.1996289533800328
EL,N,2021,2931.5,,2857.8,,1.0257890685142417,1.0257890685142417,1.0
EL,N,2023,4500.1,p,3803.0,p,1.1833026557980542,1.0257890685142417,1.1535535834008799
EL,N,2024,5242.9,p,4252.7,p,1.2328403132127825,1.0257890685142417,1.2018458287905476
ES,C,2021,139066.0,,139604.0,,0.9961462422280164,0.9961462422280164,1.0
ES,C,2023,164020.0,p,149643.0,p,1.0960753259424096,0.9961462422280164,1.1003156760305477
ES,C,2024,172896.0,p,153558.0,p,1.1259328722697612,0.9961462422280164,1.1302887312524108
ES,F,2021,65544.0,,63050.0,,1.0395559080095162,1.0395559080095162,1.0
ES,F,2023,78819.0,p,69412.0,p,1.1355241168674004,1.0395559080095162,1.0923165441305016
ES,F,2024,82843.0,p,72721.0,p,1.1391895050948144,1.0395559080095162,1.0958424614949964
ES,G,2021,154401.0,,144760.0,,1.06659988947223,1.06659988947223,1.0
ES,G,2023,179114.0,p,152098.0,p,1.1776223224499993,1.06659988947223,1.1040900473304052
ES,G,2024,186523.0,p,156158.0,p,1.1944504924499546,1.06659988947223,1.1198674444275323
ES,H,2021,43806.0,,46403.0,,0.9440337909186906,0.9440337909186906,1.0
ES,H,2023,59056.0,p,56252.0,p,1.0498471165469672,0.9440337909186906,1.1120863751342036
ES,H,2024,65272.0,p,59635.0,p,1.0945250272490987,0.9440337909186906,1.1594129762918306
ES,I,2021,50201.0,,50698.0,,0.9901968519468224,0.9901968519468224,1.0
ES,I,2023,86074.0,p,81782.0,p,1.0524809860360471,0.9901968519468224,1.0629007595477284
ES,I,2024,97783.0,p,88314.0,p,1.10721969336685,0.9901968519468224,1.1181813910940532
ES,J,2021,43558.0,,43876.0,,0.9927523019418361,0.9927523019418361,1.0
ES,J,2023,55845.0,p,53922.0,p,1.0356626237899187,0.9927523019418361,1.0432235934020495
ES,J,2024,58830.0,p,55581.0,p,1.0584552275058023,0.9927523019418361,1.0661825970440466
ES,L,2021,138045.0,,138473.0,,0.9969091447430185,0.9969091447430185,1.0
ES,L,2023,159783.0,p,149976.0,p,1.0653904624739958,0.9969091447430185,1.0686936398287632
ES,L,2024,167217.0,p,155675.0,p,1.0741416412397624,0.9969091447430185,1.0774719510840205
ES,M,2021,59000.0,,60470.0,,0.9756904250041343,0.9756904250041343,1.0
ES,M,2023,71935.0,p,68855.0,p,1.0447316825212403,0.9756904250041343,1.0707614380010069
ES,M,2024,74860.0,p,71335.0,p,1.0494147333006238,0.9756904250041343,1.0755611681811648
