country_code,sector_code,delta_labour_productivity_keur_2021_2024,delta_ai_any_pct_2021_2024,delta_ai_ge2_pct_2021_2024,delta_ai_ge3_pct_2021_2024,delta_ai_workflow_pct_2021_2024,delta_ai_production_pct_2021_2024,delta_ai_logistics_pct_2021_2024,delta_ai_marketing_pct_2021_2024,delta_ai_security_pct_2021_2024,delta_log_productivity_2021_2024
FR,C,10.388534680597061,2.0999999999999996,1.3399999999999999,1.1400000000000001,0.6000000000000001,0.9499999999999997,,1.62,0.6000000000000001,0.11322110484521719
FR,G,4.034520884385529,5.06,3.51,1.2399999999999998,1.88,,,,,0.05790876434969494
FR,H,5.528175070771951,1.04,-0.32000000000000006,0.1100000000000001,0.89,,,,,0.07570959929489174
FR,I,14.569404122833934,2.6199999999999997,1.58,0.44999999999999996,0.8099999999999999,,,,,0.37953519753404397
FR,J,9.513068977227704,18.209999999999997,13.450000000000001,11.379999999999999,4.719999999999999,12.32,,8.92,2.2199999999999998,0.08247703770766623
FR,M,2.229588254307785,2.2399999999999984,3.789999999999999,2.75,2.4699999999999998,,-0.33999999999999997,0.4900000000000002,,0.026404325363669656
FR,N,5.945149028958106,3.9699999999999998,4.63,2.01,1.3599999999999999,,,,,0.13459734037431925
HR,C,9.269173334688368,1.4200000000000017,3.2500000000000004,3.58,-1.0,-0.25,0.07999999999999996,1.43,0.58,0.28524185497927323
HR,F,10.226006446444618,-0.45999999999999996,-3.0300000000000002,-2.2700000000000005,-0.6300000000000001,-0.85,,0.10999999999999999,-0.59,0.3690732950998026
HR,G,9.93806926637058,1.6600000000000001,3.19,1.6099999999999999,0.78,-0.51,-0.26999999999999996,0.6099999999999999,-1.1,0.3017817577105131
HR,H,10.755705536807898,0.3100000000000005,1.3199999999999998,0.31999999999999984,0.9500000000000002,-2.3,,-1.2800000000000002,-2.8099999999999996,0.30462160185844667
HR,I,12.519613305940421,-1.0,0.3799999999999999,1.12,0.6200000000000001,,0.0,0.6499999999999999,,0.40966366393613063
HR,J,9.412054277701756,31.13,29.900000000000006,9.070000000000002,1.8399999999999999,5.949999999999999,,11.91,13.01,0.15740397690503904
HR,M,10.501703852843235,3.969999999999999,6.37,4.98,1.04,0.6900000000000001,0.23999999999999988,1.6400000000000001,3.03,0.29403352103169267
HR,N,6.38144306208922,16.47,13.13,1.6500000000000001,-0.7700000000000005,,0.7,7.860000000000001,,0.34734953059849216
HU,C,8.316488760827148,0.8300000000000001,0.8899999999999999,0.25,0.19999999999999996,-0.9199999999999999,-0.18999999999999995,-0.9199999999999999,0.050000000000000044,0.1849416945222977
HU,F,8.643288497894268,3.7199999999999998,2.5900000000000003,0.6,0.27,0.36,0.0,0.5800000000000001,0.5900000000000001,0.22939125133955063
HU,G,3.7501363213886947,5.1899999999999995,3.2399999999999998,1.67,1.46,0.08999999999999997,0.33,2.4400000000000004,0.7,0.10521723019300211
HU,H,10.526813141299591,0.6300000000000003,0.85,0.29999999999999993,-0.42999999999999994,-1.0,-0.5,-1.67,-0.010000000000000009,0.3348410880917565
HU,I,8.173698343095209,3.87,2.04,1.57,1.5,0.49,-0.04,1.52,0.06,0.45305373170790775
HU,J,11.98567012621644,19.790000000000003,11.87,9.72,6.739999999999999,8.55,-0.2999999999999998,6.23,1.9100000000000001,0.19797031171908852
HU,L,11.36610741691915,1.8600000000000003,0.8299999999999998,0.27,1.39,-0.92,-0.55,1.86,1.74,0.26397904222599466
HU,M,10.413333377341857,13.59,10.62,7.49,6.51,2.63,0.19,2.2199999999999998,1.42,0.2577291989824775
HU,N,6.033983654708241,0.7999999999999998,2.02,1.3099999999999998,0.43999999999999995,-1.09,-0.4,-0.14,-0.3999999999999999,0.2876194997318744
